to_translate;translation
Mit einer leicht zu merkenden Rufnummer erhalten Bürger*innen bundesweit einen direkten Draht zur Verwaltung. Wird eine Frage wie z.B. zum Wohnsitz anmelden, Ausweis beantragen oder Fahrzeug ummelden, gestellt, beantworten die Mitarbeitenden des Service-Centers der Landeshauptstadt München gerne Ihre Anliegen. Komplexere Anfragen werden durch ein eigens dafür eingerichtetes Back-Office bearbeitet oder an die Fachbereiche weitergeleitet und es erfolgt eine Rückmeldung. Ziel der 115 ist es, Bürger*innen und Unternehmen mit einem Anruf bei der öffentlichen Verwaltung verlässliche Auskünfte zu bieten. Unabhängig von lokalen und verwaltungsinternen Zuständigkeiten erhalten Anrufende schnelle Auskünfte und Hilfestellungen bei Angelegenheiten, die die öffentliche Verwaltung betreffen.;Sie können einfach eine Nummer wählen, wenn Sie etwas von der Verwaltung wissen wollen. In ganz Deutschland können sie das tun. Haben Sie eine Frage? Zum Beispiel: Sie wollen sich in einer Stadt anmelden. Oder Sie brauchen einen neuen Ausweis. Oder Sie haben ein Auto und müssen es ummelden. Dann rufen Sie einfach in München an. Dort sind Leute, die helfen. Sie arbeiten in einem Service-Center. Sie sagen Ihnen, was Sie wissen wollen. Manchmal sind die Fragen kompliziert. Dann gibt es noch andere Leute. Sie arbeiten in einem extra Büro. Sie helfen dann. Oder sie sagen den Fach-Leuten Bescheid. Die Fach-Leute melden sich dann bei Ihnen. Die Nummer 115 hat ein Ziel: Sie sollen am Telefon gute Auskünfte bekommen. Einfach so. Sie sollen schnell Hilfe bekommen, wenn Sie mit der Verwaltung zu tun haben. Egal welche Verwaltung. Egal wo in Deutschland. 
Das 115-Gebärdentelefon hat sich als weiterer Zugang zu den Leistungen der öffentlichen Verwaltung etabliert. Mit Hilfe des 115-Gebärdentelefons können Sie die Behördennummer 115 auch nutzen, wenn Sie gehörlos oder hörgeschädigt sind. Gehörlose und hörgeschädigte Beraterinnen und Berater beantworten Ihnen gerne Ihre Fragen zu Leistungen der öffentlichen Verwaltung.;Das 115-Gebärden-Telefon ist jetzt da. Damit kommen auch Menschen mit wenig Hören besser zum Amt. Wenn Sie nicht gut hören, können Sie mit der Telefon-Nummer 115 zum Amt telefonieren. Dort arbeiten Menschen, die auch nicht gut hören. Sie wissen viel über das Amt. Sie helfen Ihnen, wenn Sie Fragen haben.
Die 115 erteilt ausschließlich behördliche Auskünfte. Fragen zu wie z.B. Wegbeschreibungen, Wetterauskünften oder touristischen Informationen können unter der 115 nicht erteilt werden.;Die 115 gibt nur Antworten zu Sachen von der Verwaltung. Die 115 kann nicht sagen: Wie komme ich irgendwo hin? Wie wird das Wetter? Was gibt es für Touristen? Dazu sagt die 115 nichts.
Bei der Behördennummer wird der persönliche Kontakt groß geschrieben. Von Montag bis Freitag, 8 bis 18 Uhr, können den Mitarbeitenden der 115-Servicecenter Fragen gestellt werden. Die meisten Anliegen werden direkt beantwortet. Falls dies einmal nicht möglich ist, verspricht die 115 eine schnelle Rückmeldung.;Die Behördennummer legt viel Wert auf den direkten Kontakt zu Menschen. Von Montag bis Freitag, von 8 Uhr morgens bis 6 Uhr abends, können Sie den Menschen dort Fragen stellen, die bei der 115 arbeiten. Oft bekommen Sie sofort eine Antwort auf Ihre Fragen. Wenn das mal nicht geht, verspricht die 115, dass Sie schnell eine Antwort bekommen.\n
Die Sozialbürgerhäuser sind Ihr wohnortnaher Ansprechpartner für soziale Angebote und Leistungen.;Die Sozial-Bürger-Häuser sind in deiner Nähe. Dort kannst du dich über Hilfen und Angebote informieren.
Hilfe und Angebote in den Sozialbürgerhäusern;Hilfe und Angebote in den Bürgerhäusern für soziale Themen.
Hilfe und Angebote in den Sozialbürgerhäusern;Hilfe und Angebote im Sozial-Bürger-Haus.
Ich kenne jemanden der Hilfe braucht.;Ich kenne eine Person, die Unterstützung braucht.
Hilfe und Angebote in den Sozialbürgerhäusern;Hilfe und Dinge, die man in den Sozial-Bürger-Häusern machen kann.
Hilfe und Angebote in den Sozialbürgerhäusern;Unterstützung und Dienstleistungen in den Sozial-Bürger-Häusern.
Hilfe und Angebote in den Sozialbürgerhäusern;Hilfe und Dinge, die Sie in den Sozialbürgerhäusern bekommen.
Öffnungszeiten Sozialbürgerhäuser;Wann sind die Sozial-Bürger-Häuser offen?
Sozialbürgerhaus Gehörlose;Haus für Menschen, die nicht hören können.
Terminvereinbarung für Bürgerbüros;Wie man einen Termin im Bürger-Büro macht.
Wie kann ich einen Termin in einem Bürgerbüro vereinbaren?;So kannst du einen Termin im Bürger-Büro machen:
Vorbereitung Termin Bürgerbüro;Planung für den Besuch im Bürger-Büro.
Termin Bürgerbüro;Treffen im Bürger-Büro.
Fahrzeug und Zulassung\nPapiere, Kennzeichen, Umweltplakette: Die wichtigsten Informationen zum An- und Ummelden eines Fahrzeuges.;Auto und Anmeldung\n\nUnterlagen, Nummernschild, Umwelt-Aufkleber: Alles Wichtige für das Anmelden und Ummelden eines Autos.
Adresse Zulassungsstelle;Wo ist die Zulassungsstelle?
Termin Zulassungsstelle;Termin beim Ort, wo das Auto angemeldet wird.
Fahrerlaubnis und Führerschein\nAntrag, Änderung oder Verlust der Fahrerlaubnis: Alles, was Sie zum Thema Führerschein wissen müssen.;Führerschein bekommen und ändern, oder der Führerschein ist weg: Alles, was Sie über das Thema Führerschein wissen müssen.
Bei der Führerscheinstelle brauchen Sie einen Termin;Du musst einen Termin machen, wenn du zur Stelle gehst, wo man den Führerschein bekommt.
Wie geht Heiraten beim Münchner Standesamt? Alles was Sie zu Terminen, Trausälen und dem Ablauf der Zeremonie wissen müssen.;Wie kann man in München heiraten? Hier finden Sie Informationen zu den Zeiten, wo man heiraten kann. Und wo man in München heiraten kann. Und wie die Hochzeit abläuft.
Heiraten beim Standesamt München\nWenn Sie beim Standesamt München heiraten wollen, müssen Sie zuvor Ihre Eheschließung anmelden. Dies ist nur möglich, wenn Sie beide oder einer von Ihnen mit Haupt- oder Nebenwohnung in München gemeldet sind. Für die Münchner Stadtbezirke 21 (Pasing - Obermenzing),  22 (Aubing - Lochhausen - Langwied) und 23 (Allach - Untermenzing) ist das Standesamt München-Pasing zuständig.;Sie möchten in München heiraten?\nDas können Sie beim Standesamt München machen.\nDafür müssen Sie zuerst die Hochzeit anmelden.\nSie können die Hochzeit anmelden, wenn Sie oder Ihr Partner in München wohnen.\nWohnen Sie in den Teilen von München:\n* Pasing - Obermenzing (das ist 21),\n* Aubing - Lochhausen - Langwied (das ist 22)\n* oder Allach - Untermenzing (das ist 23)?\nDann melden Sie die Hochzeit beim Standesamt München-Pasing an.
Trausäle und Termine für Ihre Hochzeit\n\nRuppertstraße 11\nIm Kreisverwaltungsreferat in der Ruppertstraße stehen Ihnen zwei moderne Trausäle zur Verfügung. \nPersonenhöchstgrenze einschließlich Hochzeitspaar und Trauzeug*innen: 30 Personen\nTermine unter der Woche:\n* Montag und Mittwoch von 8.45 bis 12 Uhr,\n* Dienstag von 9 bis 16.45 Uhr,\n* Donnerstag von 10.30 bis 15 Uhr,\n* Freitag von 8.45 bis 12 Uhr und von 13.30 bis 15.45 Uhr,\n* an Samstagen von 8.45 bis 12 Uhr.;Heiraten im Haus in der Ruppertstraße 11\n\nIn dem Haus vom Kreisverwaltungsreferat in der Ruppertstraße 11 gibt es 2 schöne Räume zum Heiraten.\nIn den Räumen dürfen höchstens 30 Leute sein. \nDas Brautpaar und die Trauzeugen zählen auch dazu.\n\nDiese Zeiten gibt es zum Heiraten in der Woche:\n* Am Montag und Mittwoch von 8.45 bis 12 Uhr\n* Am Dienstag von 9 bis 16.45 Uhr\n* Am Donnerstag von 10.30 bis 15 Uhr\n* Am Freitag von 8.45 bis 12 Uhr und von 13.30 bis 15.45 Uhr\n* Am Samstag von 8.45 bis 12 Uhr.
Wie erreiche ich das Standesamt?;Wie komme ich zum Standesamt?
